w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,B_mean_top_left_T
44.0,11.8,5.8,20.0,4.4,19.6,0.0,0.51,14.0,14.0,0.07,0.04,2.0,12.0,0.105,0.06,0.1,0.42,0.5,0.7,2.3,3.3,4.0,14.0,1.8,0.5,0.8,3.0,0.1,1.9,0.0430627814076914
17.6,3.4,13.0,14.0,21.2,11.2,0.0,0.51,14.0,35.0,0.175,0.07,2.0,21.0,0.105,0.05,0.1,0.14,2.0,3.8,4.7,3.7,24.0,13.0,4.6,1.8,0.7,0.4,1.78,2.7,0.0467757646848925
44.0,8.2,11.8,20.0,9.2,34.0,0.0,0.51,14.0,32.0,0.07,0.03,2.0,28.0,0.175,0.09,0.1,0.4,1.0,2.1,1.7,4.6,6.0,1.0,3.1,1.8,4.8,1.5,0.57,1.3,0.0196319410065043
15.2,4.6,5.8,8.0,21.2,22.0,0.0,0.51,14.0,30.0,0.14,0.07,2.0,17.0,0.175,0.06,0.1,0.48,1.4,0.5,3.7,4.1,26.0,23.0,4.4,3.8,2.7,2.8,0.4,2.8,0.119012511910515
28.4,9.4,11.8,9.2,26.0,35.2,0.0,0.51,14.0,35.0,0.175,0.05,2.0,12.0,0.14,0.05,0.1,0.48,3.1,2.3,4.4,4.0,11.0,9.0,3.2,5.0,0.9,1.3,2.06,3.4,0.0319192004346636
36.8,4.6,11.8,21.2,9.2,48.4,0.0,0.5,14.0,32.0,0.105,0.07,2.0,34.0,0.105,0.02,0.1,0.27,0.7,2.3,2.4,3.9,10.0,19.0,2.4,0.8,5.0,1.6,0.2,1.3,0.0262433125196726
47.6,9.4,4.6,21.2,4.4,41.2,0.0,0.5,14.0,30.0,0.07,0.02,2.0,5.0,0.175,0.05,0.1,0.32,0.5,3.3,2.2,2.7,26.0,18.0,4.5,0.7,3.4,3.9,0.4,1.1,0.0507499828766387
35.6,10.6,4.6,14.0,24.8,16.0,0.0,0.51,14.0,35.0,0.105,0.1,2.0,29.0,0.105,0.05,0.1,0.46,2.3,2.0,4.2,3.9,8.0,20.0,2.0,0.3,3.9,1.0,0.42,3.6,0.0626058894368098
29.6,13.0,7.0,6.8,3.2,8.8,0.0,0.51,14.0,35.0,0.105,0.09,2.0,28.0,0.175,0.08,0.1,0.5,0.4,2.6,1.7,2.6,6.0,11.0,3.6,4.9,2.7,1.7,0.28,1.2,0.0536134617405734
41.6,5.8,9.4,16.4,23.6,34.0,0.0,0.51,14.0,30.0,0.14,0.07,2.0,29.0,0.07,0.05,0.1,0.26,2.0,2.4,4.8,3.7,0.0,1.0,1.7,2.0,2.2,2.0,1.37,3.1,0.0269497082689714
17.6,3.4,4.6,14.0,23.6,26.8,0.0,0.5,14.0,30.0,0.07,0.03,2.0,35.0,0.175,0.02,0.1,0.25,1.8,1.8,4.9,5.0,4.0,27.0,4.6,5.0,3.1,0.8,1.55,2.5,0.125669978218503
34.4,10.6,13.0,9.2,17.6,38.8,0.0,0.51,14.0,13.0,0.175,0.01,2.0,30.0,0.105,0.04,0.1,0.25,0.8,1.6,3.1,4.1,24.0,18.0,1.0,4.4,1.2,0.1,0.43,2.9,0.0229390461310163
23.6,2.2,5.8,20.0,24.8,53.2,0.0,0.51,14.0,23.0,0.14,0.09,2.0,21.0,0.07,0.07,0.1,0.15,2.0,1.8,4.4,4.7,28.0,5.0,0.7,4.2,4.8,2.6,1.23,3.3,0.073967087389691
12.8,9.4,13.0,23.6,17.6,16.0,0.0,0.51,14.0,27.0,0.175,0.04,2.0,13.0,0.105,0.05,0.1,0.27,1.4,2.4,3.1,3.1,25.0,28.0,4.0,2.2,1.3,3.7,0.53,2.6,0.0618184859098814
46.4,5.8,7.0,3.2,15.2,42.4,0.0,0.5,14.0,13.0,0.175,0.08,2.0,18.0,0.14,0.01,0.1,0.25,1.6,0.6,4.5,3.1,0.0,3.0,3.7,4.0,0.9,1.7,0.32,1.0,0.0323847243570895
12.8,13.0,9.4,11.6,23.6,24.4,0.0,0.51,14.0,18.0,0.14,0.01,2.0,9.0,0.105,0.09,0.1,0.27,3.0,0.4,4.8,4.8,25.0,10.0,3.7,2.3,1.8,2.7,0.29,3.6,0.0877972227265171
35.6,11.8,3.4,6.8,9.2,52.0,0.0,0.5,14.0,28.0,0.07,0.05,2.0,14.0,0.105,0.08,0.1,0.21,0.4,0.8,4.4,3.7,14.0,23.0,2.0,3.0,4.0,0.4,0.24,3.6,0.0889336211734797
21.2,9.4,7.0,23.6,22.4,43.6,0.0,0.51,14.0,28.0,0.105,0.03,2.0,19.0,0.07,0.05,0.1,0.3,2.7,2.4,4.5,3.7,0.0,24.0,2.4,0.4,4.1,5.0,0.68,2.9,0.0714015929018288
45.2,5.8,5.8,21.2,23.6,49.6,0.0,0.51,14.0,24.0,0.105,0.06,2.0,14.0,0.14,0.03,0.1,0.28,3.1,1.8,4.8,3.6,9.0,30.0,1.4,3.9,1.6,4.7,0.57,2.4,0.0393621444289054
18.8,9.4,11.8,12.8,21.2,34.0,0.0,0.5,14.0,28.0,0.105,0.02,2.0,20.0,0.175,0.01,0.1,0.38,1.9,2.1,4.6,4.6,25.0,16.0,4.8,3.2,2.0,4.4,1.64,2.7,0.0473326711205711
34.4,1.0,2.2,18.8,5.6,12.4,0.0,0.5,14.0,23.0,0.14,0.1,2.0,19.0,0.175,0.07,0.1,0.43,0.3,0.7,2.0,4.4,22.0,14.0,2.4,0.8,1.0,1.6,0.1,1.8,0.134345411717133
11.6,2.2,10.6,18.8,16.4,16.0,0.0,0.51,14.0,20.0,0.035,0.01,2.0,31.0,0.14,0.07,0.1,0.32,1.0,1.0,4.8,2.9,13.0,2.0,1.4,3.6,4.7,3.3,0.81,2.3,0.0806045605297531
47.6,1.0,3.4,22.4,10.4,47.2,0.0,0.5,14.0,10.0,0.105,0.01,2.0,8.0,0.14,0.09,0.1,0.3,0.6,0.6,4.0,4.8,28.0,21.0,4.8,1.9,1.4,2.2,0.28,1.1,0.0604969173836865
22.4,10.6,13.0,11.6,10.4,8.8,0.0,0.5,14.0,30.0,0.14,0.01,2.0,32.0,0.105,0.02,0.1,0.23,0.5,2.1,4.4,4.8,17.0,22.0,1.4,0.4,2.9,0.6,0.16,3.8,0.0358734583312544
27.2,9.4,9.4,22.4,11.6,32.8,0.0,0.51,14.0,28.0,0.105,0.05,2.0,33.0,0.175,0.03,0.1,0.28,1.3,2.2,2.0,2.4,1.0,5.0,3.6,2.8,3.0,2.2,0.9,1.7,0.0398466806955798
27.2,4.6,8.2,3.2,3.2,23.2,0.0,0.51,14.0,27.0,0.175,0.02,2.0,34.0,0.175,0.09,0.1,0.21,0.2,1.6,1.6,4.6,30.0,25.0,3.0,3.2,3.2,3.8,0.1,1.3,0.0505768975352596
8.0,3.4,10.6,17.6,12.8,36.4,0.0,0.5,14.0,19.0,0.07,0.03,2.0,11.0,0.105,0.07,0.1,0.24,0.7,1.7,4.1,4.0,2.0,11.0,3.6,3.9,3.3,4.9,0.37,3.5,0.121342559979594
39.2,9.4,3.4,18.8,26.0,10.0,0.0,0.5,14.0,17.0,0.175,0.02,2.0,24.0,0.105,0.06,0.1,0.36,2.2,1.2,4.4,4.2,6.0,20.0,1.7,4.9,4.7,1.6,0.1,3.5,0.0778118954703428
24.8,2.2,11.8,10.4,21.2,35.2,0.0,0.51,14.0,30.0,0.035,0.02,2.0,31.0,0.14,0.02,0.1,0.38,1.6,3.3,5.0,4.7,30.0,27.0,2.8,3.1,2.2,4.7,1.4,4.1,0.0342961879874594
42.8,9.4,10.6,21.2,9.2,50.8,0.0,0.5,14.0,34.0,0.07,0.02,2.0,11.0,0.175,0.03,0.1,0.43,1.0,3.9,1.8,2.2,20.0,26.0,4.7,3.7,2.8,3.5,0.52,1.4,0.0248932816542631
21.2,10.6,8.2,12.8,9.2,12.4,0.0,0.5,14.0,19.0,0.105,0.04,2.0,21.0,0.175,0.02,0.1,0.41,0.9,2.3,4.7,2.4,16.0,19.0,0.9,4.7,0.8,0.8,0.78,2.3,0.0585720018262681
9.2,7.0,11.8,16.4,3.2,48.4,0.0,0.5,14.0,11.0,0.105,0.03,2.0,18.0,0.14,0.05,0.1,0.18,0.4,0.5,1.8,4.7,24.0,20.0,2.9,0.3,0.7,4.4,0.3,1.1,0.0976018299271192
12.8,3.4,10.6,12.8,24.8,53.2,0.0,0.51,14.0,4.0,0.105,0.1,2.0,26.0,0.105,0.02,0.1,0.17,2.1,0.4,4.9,4.2,24.0,19.0,2.0,2.8,2.8,3.0,0.35,3.7,0.0751868528647181
45.2,10.6,5.8,23.6,18.8,26.8,0.0,0.5,14.0,30.0,0.175,0.04,2.0,24.0,0.07,0.03,0.1,0.43,2.3,2.9,4.1,4.5,5.0,2.0,3.0,2.5,2.3,4.5,1.82,2.8,0.0397981781694743
34.4,7.0,10.6,16.4,18.8,49.6,0.0,0.51,14.0,17.0,0.105,0.02,2.0,29.0,0.175,0.08,0.1,0.28,2.0,1.2,4.6,3.4,19.0,10.0,0.7,3.1,1.8,2.4,0.28,2.2,0.0289949072782738
18.8,3.4,3.4,3.2,4.4,40.0,0.0,0.51,14.0,24.0,0.175,0.09,2.0,16.0,0.105,0.06,0.1,0.44,0.4,2.9,1.1,3.8,21.0,27.0,0.4,4.4,1.5,1.7,0.1,1.0,0.171974689782302
42.8,5.8,13.0,24.8,21.2,44.8,0.0,0.5,14.0,18.0,0.105,0.09,2.0,29.0,0.105,0.05,0.1,0.43,1.0,0.8,4.5,3.8,16.0,8.0,0.2,2.0,2.7,3.2,0.29,2.6,0.0176767633963285
46.4,9.4,13.0,17.6,6.8,52.0,0.0,0.51,14.0,35.0,0.175,0.09,2.0,18.0,0.105,0.06,0.1,0.34,0.8,3.2,5.0,3.2,25.0,24.0,4.1,3.1,3.7,3.2,0.35,1.1,0.0183365065890334
23.6,8.2,10.6,16.4,10.4,10.0,0.0,0.5,14.0,35.0,0.14,0.02,2.0,16.0,0.175,0.03,0.1,0.28,0.7,3.0,3.2,3.6,22.0,27.0,0.3,5.0,4.0,3.8,0.42,2.1,0.0427708718498625
28.4,4.6,5.8,11.6,20.0,25.6,0.0,0.51,14.0,31.0,0.14,0.07,2.0,8.0,0.105,0.03,0.1,0.21,2.2,1.6,4.7,2.1,23.0,8.0,3.8,0.1,0.6,3.5,0.22,1.4,0.0641501801870533
35.6,5.8,5.8,12.8,20.0,29.2,0.0,0.51,14.0,33.0,0.07,0.02,2.0,32.0,0.105,0.01,0.1,0.48,2.2,3.9,4.1,4.9,18.0,26.0,2.9,0.7,4.8,2.7,1.27,2.2,0.0506209863912183
36.8,11.8,9.4,18.8,14.0,7.6,0.0,0.5,14.0,17.0,0.14,0.04,2.0,14.0,0.105,0.1,0.1,0.22,1.1,1.5,2.7,2.4,26.0,25.0,3.8,4.4,1.1,3.9,0.74,1.8,0.0306152984637759
47.6,3.4,3.4,22.4,20.0,36.4,0.0,0.5,14.0,35.0,0.175,0.1,2.0,9.0,0.07,0.02,0.1,0.46,1.8,4.1,3.6,3.5,23.0,27.0,3.7,4.4,4.7,2.0,1.03,2.5,0.0674929820222646
18.8,8.2,9.4,21.2,5.6,4.0,0.0,0.5,14.0,23.0,0.07,0.05,2.0,24.0,0.175,0.05,0.1,0.35,0.5,1.0,2.4,3.2,14.0,0.0,2.1,4.2,1.3,1.0,0.15,1.4,0.0643473975171188
41.6,11.8,9.4,8.0,17.6,47.2,0.0,0.51,14.0,16.0,0.175,0.01,2.0,25.0,0.175,0.07,0.1,0.26,0.9,1.1,4.8,4.6,0.0,3.0,3.0,4.2,0.6,1.2,0.33,3.2,0.0265995481296421
30.8,13.0,2.2,17.6,10.4,48.4,0.0,0.51,14.0,27.0,0.07,0.02,2.0,23.0,0.14,0.03,0.1,0.23,0.6,2.0,3.0,3.9,5.0,27.0,4.0,4.8,0.9,1.8,0.54,2.0,0.153939669679536
46.4,5.8,4.6,12.8,8.0,19.6,0.0,0.5,14.0,26.0,0.14,0.08,2.0,11.0,0.07,0.06,0.1,0.21,0.7,3.0,3.9,4.4,22.0,21.0,1.4,1.1,3.8,3.8,0.24,3.8,0.0496433475700008
21.2,7.0,7.0,26.0,14.0,37.6,0.0,0.51,14.0,28.0,0.14,0.02,2.0,7.0,0.105,0.07,0.1,0.19,0.9,1.5,3.9,2.6,26.0,29.0,2.0,0.4,4.5,3.3,0.45,2.5,0.0669120295970734
50.0,5.8,3.4,3.2,3.2,41.2,0.0,0.51,14.0,32.0,0.175,0.08,2.0,26.0,0.07,0.03,0.1,0.45,0.4,2.4,1.5,4.9,2.0,24.0,1.7,3.2,2.7,1.8,0.3,1.1,0.064293723112663
36.8,5.8,8.2,15.2,16.4,29.2,0.0,0.51,14.0,32.0,0.105,0.08,2.0,14.0,0.035,0.01,0.1,0.45,1.3,1.3,3.1,2.5,0.0,9.0,0.7,3.7,0.7,1.9,0.57,2.2,0.0336184501138832
26.0,7.0,3.4,26.0,5.6,36.4,0.0,0.51,14.0,29.0,0.035,0.03,2.0,8.0,0.07,0.06,0.1,0.29,0.7,3.9,3.5,3.9,26.0,10.0,2.1,3.0,0.9,2.2,0.34,1.3,0.114051634549867
29.6,7.0,5.8,24.8,23.6,11.2,0.0,0.51,14.0,23.0,0.175,0.03,2.0,10.0,0.14,0.04,0.1,0.29,2.6,2.6,4.6,4.0,25.0,11.0,2.2,3.5,4.9,3.9,0.58,3.6,0.0604745037930825
17.6,4.6,8.2,23.6,11.6,35.2,0.0,0.51,14.0,21.0,0.14,0.08,2.0,22.0,0.175,0.09,0.1,0.27,0.7,2.6,4.9,4.3,20.0,5.0,0.9,3.3,1.5,3.3,0.19,1.8,0.0728116075850176
17.6,3.4,13.0,9.2,21.2,38.8,0.0,0.5,14.0,25.0,0.105,0.04,2.0,12.0,0.14,0.02,0.1,0.21,2.6,3.1,4.7,4.7,13.0,26.0,4.4,0.8,2.6,1.9,2.24,2.1,0.0470713708419388
39.2,13.0,11.8,23.6,17.6,52.0,0.0,0.5,14.0,22.0,0.07,0.06,2.0,21.0,0.105,0.06,0.1,0.22,2.0,2.3,3.8,4.0,26.0,10.0,4.2,0.3,3.1,4.4,1.45,3.0,0.0231361116852258
23.6,1.0,3.4,12.8,11.6,13.6,0.0,0.5,14.0,31.0,0.175,0.05,2.0,5.0,0.14,0.04,0.1,0.21,0.9,0.6,4.8,1.5,6.0,27.0,0.4,3.6,3.0,4.3,0.22,1.3,0.121674074391384
16.4,4.6,9.4,4.4,9.2,5.2,0.0,0.51,14.0,16.0,0.035,0.02,2.0,23.0,0.07,0.07,0.1,0.2,0.7,0.9,3.1,4.7,1.0,21.0,3.8,1.9,2.1,3.9,0.56,1.9,0.0684007028127226
47.6,3.4,4.6,22.4,5.6,25.6,0.0,0.51,14.0,31.0,0.035,0.01,2.0,32.0,0.07,0.04,0.1,0.37,0.7,4.0,4.0,1.6,29.0,15.0,4.9,1.3,1.7,3.2,0.11,1.2,0.048380214873748
26.0,1.0,10.6,14.0,4.4,28.0,0.0,0.51,14.0,26.0,0.14,0.05,2.0,21.0,0.175,0.09,0.1,0.19,0.5,3.3,2.4,3.8,15.0,15.0,1.0,1.1,4.5,2.9,0.31,1.4,0.0388580419899782
15.2,7.0,11.8,11.6,17.6,16.0,0.0,0.51,14.0,30.0,0.035,0.03,2.0,26.0,0.07,0.03,0.1,0.26,1.2,1.5,3.8,4.8,4.0,25.0,1.2,2.8,3.6,4.6,0.73,2.6,0.0570514099179563
10.4,10.6,5.8,16.4,16.4,40.0,0.0,0.51,14.0,28.0,0.105,0.03,2.0,32.0,0.105,0.06,0.1,0.23,1.7,0.8,4.5,2.3,5.0,11.0,3.2,3.7,3.1,3.1,0.23,1.3,0.170764446378606
17.6,10.6,8.2,10.4,18.8,8.8,0.0,0.5,14.0,29.0,0.105,0.08,2.0,31.0,0.07,0.05,0.1,0.2,2.2,3.8,4.8,4.5,3.0,24.0,2.7,2.7,3.6,1.6,0.52,2.8,0.0738212440791637
16.4,2.2,10.6,10.4,9.2,32.8,0.0,0.5,14.0,29.0,0.105,0.07,2.0,9.0,0.14,0.09,0.1,0.27,0.7,3.2,3.3,4.4,18.0,8.0,4.7,3.9,0.3,1.7,0.5,2.3,0.0587909890217179
15.2,5.8,11.8,6.8,11.6,19.6,0.0,0.5,14.0,23.0,0.14,0.04,2.0,31.0,0.105,0.04,0.1,0.44,1.0,2.9,4.2,4.0,29.0,30.0,2.2,2.0,3.7,3.2,0.77,3.6,0.0584520926624575
50.0,8.2,4.6,5.6,22.4,38.8,0.0,0.51,14.0,27.0,0.14,0.01,2.0,28.0,0.07,0.02,0.1,0.37,1.8,3.0,4.4,4.6,2.0,9.0,3.2,4.0,4.1,4.7,0.65,3.9,0.0454315453296269
9.2,8.2,5.8,18.8,4.4,40.0,0.0,0.51,14.0,28.0,0.07,0.03,2.0,35.0,0.14,0.08,0.1,0.28,0.4,2.6,1.3,3.8,28.0,9.0,4.5,1.7,0.7,4.9,0.17,1.2,0.20260144232373
9.2,8.2,13.0,12.8,14.0,48.4,0.0,0.51,14.0,21.0,0.175,0.01,2.0,20.0,0.105,0.09,0.1,0.38,1.2,0.9,3.7,4.6,14.0,14.0,4.5,0.7,0.1,4.4,0.67,3.0,0.0850734866380056
9.2,10.6,11.8,22.4,17.6,32.8,0.0,0.51,14.0,28.0,0.14,0.03,2.0,13.0,0.175,0.07,0.1,0.19,1.5,3.0,4.2,3.5,17.0,16.0,3.7,3.3,0.3,1.8,0.93,1.5,0.0968398020579852
26.0,4.6,8.2,8.0,21.2,11.2,0.0,0.51,14.0,25.0,0.105,0.04,2.0,10.0,0.14,0.07,0.1,0.36,1.2,2.9,4.2,2.7,2.0,14.0,5.0,2.5,4.2,3.1,0.17,2.2,0.0484961446302092
48.8,8.2,4.6,12.8,15.2,43.6,0.0,0.5,14.0,18.0,0.14,0.06,2.0,14.0,0.105,0.05,0.1,0.2,1.7,2.3,4.1,1.6,26.0,12.0,0.7,3.8,2.7,0.5,0.36,1.2,0.0468434885150623
23.6,2.2,8.2,16.4,20.0,23.2,0.0,0.5,14.0,29.0,0.105,0.01,2.0,32.0,0.105,0.1,0.1,0.47,2.1,1.9,4.2,4.1,18.0,6.0,3.1,4.8,2.7,3.9,0.88,3.2,0.0535945997136205
50.0,11.8,9.4,6.8,23.6,7.6,0.0,0.5,14.0,20.0,0.14,0.01,2.0,13.0,0.07,0.05,0.1,0.08,1.3,1.5,5.0,4.5,10.0,6.0,0.3,2.3,2.3,3.0,0.3,4.2,0.0224707202397046
28.4,11.8,9.4,6.8,4.4,8.8,0.0,0.51,14.0,15.0,0.07,0.03,2.0,33.0,0.07,0.07,0.1,0.32,0.5,0.6,1.1,3.2,11.0,27.0,1.8,2.6,3.6,0.8,0.45,1.0,0.0430770083856074
47.6,9.4,8.2,6.8,3.2,35.2,0.0,0.51,14.0,26.0,0.175,0.1,2.0,32.0,0.035,0.02,0.1,0.04,0.4,2.8,2.1,3.6,1.0,17.0,0.1,2.1,3.7,2.5,0.27,1.0,0.0286634220613935
50.0,8.2,7.0,12.8,23.6,49.6,0.0,0.5,14.0,19.0,0.105,0.01,2.0,31.0,0.07,0.06,0.1,0.41,1.2,1.9,5.0,3.3,8.0,0.0,2.9,2.4,5.0,3.8,1.19,2.8,0.0321016673921833
23.6,13.0,5.8,14.0,15.2,23.2,0.0,0.51,14.0,27.0,0.105,0.02,2.0,27.0,0.07,0.03,0.1,0.43,1.5,3.5,3.7,1.6,15.0,3.0,2.5,4.9,3.0,2.5,0.74,1.5,0.0781597879651272
48.8,5.8,10.6,10.4,5.6,6.4,0.0,0.51,14.0,21.0,0.14,0.03,2.0,25.0,0.105,0.1,0.1,0.44,0.7,1.3,2.5,4.2,20.0,14.0,3.8,1.7,4.4,1.6,0.42,1.9,0.0209081515410685
23.6,5.8,9.4,11.6,10.4,11.2,0.0,0.51,14.0,14.0,0.14,0.07,2.0,34.0,0.14,0.06,0.1,0.18,1.1,1.5,4.0,1.8,25.0,27.0,0.7,4.0,0.2,3.7,0.71,1.7,0.0493695228496586
42.8,11.8,13.0,9.2,18.8,19.6,0.0,0.5,14.0,24.0,0.14,0.03,2.0,31.0,0.14,0.05,0.1,0.25,2.0,0.6,3.9,4.4,15.0,3.0,1.8,2.9,2.8,2.0,0.21,3.0,0.0189026595625909
20.0,10.6,9.4,21.2,11.6,17.2,0.0,0.51,14.0,16.0,0.14,0.09,2.0,25.0,0.07,0.02,0.1,0.13,1.1,1.9,4.9,1.7,8.0,27.0,0.3,2.6,1.2,1.7,0.63,1.2,0.0546497503203729
38.0,8.2,5.8,4.4,12.8,24.4,0.0,0.5,14.0,8.0,0.14,0.04,2.0,13.0,0.07,0.02,0.1,0.12,1.6,0.7,2.8,3.5,28.0,0.0,4.6,3.9,2.0,1.0,0.25,1.9,0.0479093571236893
29.6,8.2,8.2,23.6,17.6,30.4,0.0,0.51,14.0,25.0,0.105,0.05,2.0,10.0,0.14,0.08,0.1,0.37,2.1,2.2,4.4,3.1,4.0,28.0,0.7,4.1,1.9,1.9,0.24,2.6,0.0436268710256729
41.6,5.8,10.6,23.6,4.4,36.4,0.0,0.5,14.0,19.0,0.14,0.02,2.0,23.0,0.07,0.06,0.1,0.27,0.2,2.3,2.5,1.9,26.0,17.0,0.1,3.8,1.3,3.1,0.11,1.4,0.0249292672989179
34.4,5.8,3.4,18.8,11.6,14.8,0.0,0.5,14.0,30.0,0.105,0.07,2.0,12.0,0.105,0.09,0.1,0.35,0.9,1.0,2.5,4.1,6.0,16.0,2.6,1.4,3.8,4.7,0.62,1.1,0.0882331997692605
42.8,5.8,11.8,17.6,5.6,16.0,0.0,0.51,14.0,32.0,0.14,0.01,2.0,13.0,0.07,0.05,0.1,0.05,0.6,2.7,2.0,4.6,17.0,0.0,2.4,4.7,3.5,2.2,0.5,1.5,0.0204293720824214
24.8,4.6,8.2,18.8,18.8,4.0,0.0,0.51,14.0,21.0,0.175,0.07,2.0,25.0,0.175,0.07,0.1,0.42,1.7,2.0,3.8,4.9,16.0,15.0,4.0,4.7,4.7,3.7,0.59,3.2,0.0494088105945201
36.8,13.0,4.6,14.0,18.8,5.2,0.0,0.5,14.0,20.0,0.14,0.1,2.0,21.0,0.105,0.02,0.1,0.34,1.2,1.3,4.0,3.3,17.0,14.0,4.8,1.8,2.7,3.3,0.42,1.8,0.0670349423285972
23.6,9.4,9.4,20.0,10.4,44.8,0.0,0.51,14.0,26.0,0.175,0.04,2.0,34.0,0.175,0.01,0.1,0.32,0.8,1.4,4.8,3.5,20.0,23.0,4.1,1.0,2.3,4.8,0.11,2.7,0.0465490768659395
10.4,4.6,10.6,5.6,4.4,48.4,0.0,0.51,14.0,16.0,0.175,0.04,2.0,30.0,0.07,0.06,0.1,0.05,0.4,0.4,2.8,2.2,30.0,29.0,1.8,1.1,3.6,0.6,0.19,1.4,0.108947895604458
22.4,11.8,4.6,21.2,23.6,28.0,0.0,0.51,14.0,20.0,0.14,0.06,2.0,8.0,0.175,0.08,0.1,0.19,2.5,0.9,5.0,4.0,18.0,17.0,0.3,0.9,4.8,2.4,0.3,2.2,0.100080118628565
9.2,9.4,5.8,18.8,9.2,25.6,0.0,0.51,14.0,26.0,0.105,0.04,2.0,25.0,0.07,0.07,0.1,0.28,1.0,0.3,4.8,1.1,5.0,26.0,1.6,0.5,1.5,3.1,0.14,1.0,0.195093720071793
33.2,9.4,13.0,17.6,8.0,25.6,0.0,0.51,14.0,25.0,0.105,0.07,2.0,20.0,0.105,0.06,0.1,0.27,0.9,2.4,3.4,4.5,6.0,26.0,1.0,0.6,0.6,2.0,0.88,2.5,0.0264081046841789
34.4,2.2,8.2,12.8,12.8,22.0,0.0,0.51,14.0,33.0,0.105,0.02,2.0,13.0,0.14,0.07,0.1,0.32,1.6,3.2,3.3,4.1,11.0,3.0,1.7,0.5,4.3,3.1,0.49,1.2,0.0376791376639504
48.8,5.8,4.6,15.2,17.6,46.0,0.0,0.5,14.0,21.0,0.175,0.06,2.0,12.0,0.035,0.01,0.1,0.37,1.9,2.0,3.8,2.9,17.0,24.0,4.8,3.4,2.1,2.8,1.31,2.3,0.044968584626869
45.2,9.4,3.4,12.8,12.8,28.0,0.0,0.51,14.0,22.0,0.105,0.08,2.0,24.0,0.07,0.03,0.1,0.37,0.6,2.8,3.9,3.0,27.0,20.0,2.4,4.2,4.4,1.0,0.59,1.1,0.0686197216242213
22.4,7.0,13.0,23.6,24.8,6.4,0.0,0.51,14.0,33.0,0.14,0.05,2.0,21.0,0.105,0.04,0.1,0.16,2.1,3.4,5.0,5.0,19.0,8.0,1.2,2.5,1.6,4.3,0.25,4.2,0.037836378562536
46.4,3.4,2.2,21.2,17.6,26.8,0.0,0.5,14.0,14.0,0.105,0.03,2.0,30.0,0.175,0.1,0.1,0.5,0.9,1.0,4.5,3.4,19.0,4.0,2.1,0.4,0.6,3.6,0.15,1.7,0.0981912273623186
22.4,8.2,5.8,14.0,17.6,18.4,0.0,0.5,14.0,23.0,0.175,0.1,2.0,30.0,0.105,0.03,0.1,0.18,1.3,0.4,4.6,3.4,27.0,18.0,4.8,4.2,0.6,0.5,0.33,1.4,0.0839337305681617
34.4,3.4,2.2,9.2,20.0,53.2,0.0,0.5,14.0,20.0,0.105,0.04,2.0,28.0,0.07,0.06,0.1,0.5,2.2,2.1,4.3,5.0,25.0,28.0,0.3,1.8,0.2,2.4,1.08,2.7,0.135194990798897
48.8,10.6,2.2,23.6,8.0,30.4,0.0,0.51,14.0,14.0,0.14,0.07,2.0,28.0,0.175,0.07,0.1,0.28,0.7,0.7,4.9,4.0,0.0,16.0,1.6,4.3,2.8,1.4,0.34,1.3,0.104089701654871
52.4,3.4,8.2,16.4,24.8,30.4,0.0,0.51,14.0,28.0,0.14,0.09,2.0,20.0,0.07,0.03,0.1,0.32,2.2,1.5,4.5,4.8,6.0,3.0,1.3,1.8,4.2,1.0,1.32,3.3,0.0245307488346916
12.8,13.0,10.6,20.0,11.6,17.2,0.0,0.5,14.0,32.0,0.105,0.08,2.0,31.0,0.07,0.06,0.1,0.36,1.4,0.3,2.9,2.8,1.0,4.0,4.6,2.4,2.5,1.7,0.21,2.4,0.0762049123810233
12.8,13.0,13.0,23.6,15.2,53.2,0.0,0.51,14.0,35.0,0.14,0.02,2.0,29.0,0.14,0.06,0.1,0.4,1.2,3.9,4.0,2.8,30.0,17.0,0.2,4.4,1.5,3.1,0.52,2.2,0.0608548374150608
52.4,13.0,10.6,11.6,16.4,19.6,0.0,0.51,14.0,24.0,0.175,0.06,2.0,22.0,0.105,0.07,0.1,0.49,1.2,2.1,3.8,2.1,18.0,1.0,4.9,1.2,2.7,3.3,0.84,1.3,0.0183916264177221
42.8,3.4,7.0,15.2,3.2,34.0,0.0,0.51,14.0,8.0,0.14,0.03,2.0,12.0,0.035,0.01,0.1,0.06,0.4,0.5,1.6,2.9,19.0,10.0,3.3,2.9,4.8,4.6,0.22,1.2,0.0359868643756757
35.6,5.8,13.0,4.4,5.6,20.8,0.0,0.5,14.0,34.0,0.14,0.08,2.0,18.0,0.105,0.09,0.1,0.38,0.7,2.7,2.0,2.0,6.0,26.0,2.3,2.0,3.1,3.2,0.47,1.2,0.0249596125139963
45.2,9.4,2.2,5.6,23.6,31.6,0.0,0.5,14.0,27.0,0.175,0.08,2.0,9.0,0.105,0.02,0.1,0.17,2.5,2.7,4.9,3.6,28.0,21.0,4.2,3.5,0.8,5.0,1.12,2.6,0.10593855905513
